RA_center_deg,DEC_center_deg,count_within_1p128deg,field_id
37.001535,-0.7572291,3005,no_eFEDS_1
41.301535,-0.0272291,2724,no_eFEDS_2
39.101535,-0.0272291,2525,no_eFEDS_3
183.301535,-0.772291,2165,no_eFEDS_4
181.001535,-0.072291,2109,no_eFEDS_5
37.001535,1.427709,2016,no_eFEDS_6
209.701535,5.137709,1586,no_eFEDS_7
150.001535,3.727709,1841,no_eFEDS_8
178.801535,-0.8572291,1748,no_eFEDS_9
151.301535,1.527709,1700,no_eFEDS_10
149.001535,1.427709,1618,no_eFEDS_11
36.001535,-4.572291,1584,no_eFEDS_12
183.001535,1.427709,1572,no_eFEDS_13
178.831535,1.427709,1429,no_eFEDS_14
41.001535,1.927709,1107,no_eFEDS_15
198.17,-2.70417,1111,no_eFEDS_16
218.6032430913278,2.7583726725522086,2197,no_eFEDS_17
219.7907754373592,-0.3414602905184298,2192,no_eFEDS_18
212.31436237852617,-0.7496715078762812,2120,no_eFEDS_19
215.98598728672624,-0.2775426079421457,2291,no_eFEDS_20
332.18,0.90,1111,no_eFEDS_21
319.06,2.332,1111,no_eFEDS_22
325.36,2.513,1111,no_eFEDS_23
358.48,0.873,1111,no_eFEDS_24
358.48,-1.122,1111,no_eFEDS_25
357.74,2.861,1111,no_eFEDS_26
